date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:14:12	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2008%20Nov%202022%2022:14:12%20GMT	https://demothemesflat.com/axies/assets/images/avatar/avt-7.jpg	/home/francisb/websites/Unicorn-Frontend/demothemesflat.com/axies/assets/images/avatar/avt-7.jpg	(from https://demothemesflat.com/axies/)
23:14:13	185554/185554	---M--	200	added ('OK')	text/css	etag:%222d4d2-5d78221c78f00%22	https://demothemesflat.com/axies/assets/css/shortcodes.css	/home/francisb/websites/Unicorn-Frontend/demothemesflat.com/axies/assets/css/shortcodes.css	(from https://demothemesflat.com/axies/assets/css/style.css)
23:14:14	27785/27785	---M--	200	added ('OK')	text/css	etag:%226c89-5d1c6abd2c500%22	https://demothemesflat.com/axies/assets/css/animate.css	/home/francisb/websites/Unicorn-Frontend/demothemesflat.com/axies/assets/css/animate.css	(from https://demothemesflat.com/axies/assets/css/style.css)
23:14:14	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2008%20Nov%202022%2022:14:14%20GMT	https://demothemesflat.com/axies/assets/images/icon/menu.png	/home/francisb/websites/Unicorn-Frontend/demothemesflat.com/axies/assets/images/icon/menu.png	(from https://demothemesflat.com/axies/)
23:14:14	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2008%20Nov%202022%2022:14:14%20GMT	https://demothemesflat.com/axies/assets/images/icon/photo.png	/home/francisb/websites/Unicorn-Frontend/demothemesflat.com/axies/assets/images/icon/photo.png	(from https://demothemesflat.com/axies/)
23:14:14	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2008%20Nov%202022%2022:14:14%20GMT	https://demothemesflat.com/axies/assets/images/box-item/card-item-4.jpg	/home/francisb/websites/Unicorn-Frontend/demothemesflat.com/axies/assets/images/box-item/card-item-4.jpg	(from https://demothemesflat.com/axies/)
23:14:14	13735/13735	---M--	200	added ('OK')	text/css	etag:%2235a7-5d0ad6db43700%22	https://demothemesflat.com/axies/assets/css/jquery.fancybox.min.css	/home/francisb/websites/Unicorn-Frontend/demothemesflat.com/axies/assets/css/jquery.fancybox.min.css	(from https://demothemesflat.com/axies/assets/css/style.css)
23:14:16	224958/224958	---M--	200	added ('OK')	text/css	etag:%2236ebe-5d0ad6db43700%22	https://demothemesflat.com/axies/assets/css/font-awesome.css	/home/francisb/websites/Unicorn-Frontend/demothemesflat.com/axies/assets/css/font-awesome.css	(from https://demothemesflat.com/axies/assets/css/style.css)
23:14:17	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2008%20Nov%202022%2022:14:17%20GMT	https://demothemesflat.com/axies/assets/images/box-item/card-item-2.jpg	/home/francisb/websites/Unicorn-Frontend/demothemesflat.com/axies/assets/images/box-item/card-item-2.jpg	(from https://demothemesflat.com/axies/)
23:14:17	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2008%20Nov%202022%2022:14:17%20GMT	https://demothemesflat.com/axies/assets/images/box-item/card-item-7.jpg	/home/francisb/websites/Unicorn-Frontend/demothemesflat.com/axies/assets/images/box-item/card-item-7.jpg	(from https://demothemesflat.com/axies/)
23:14:17	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2008%20Nov%202022%2022:14:17%20GMT	https://demothemesflat.com/axies/assets/images/box-item/card-item-9.jpg	/home/francisb/websites/Unicorn-Frontend/demothemesflat.com/axies/assets/images/box-item/card-item-9.jpg	(from https://demothemesflat.com/axies/)
23:14:17	13972/13972	---M--	200	added ('OK')	text/css	etag:%223694-5d0ad6db43700%22	https://demothemesflat.com/axies/assets/css/swiper-bundle.min.css	/home/francisb/websites/Unicorn-Frontend/demothemesflat.com/axies/assets/css/swiper-bundle.min.css	(from https://demothemesflat.com/axies/assets/css/style.css)
